,_sa_instance_state,text,datetime,tweet_id,username,id
2554,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5340>,"@jokowi Katanya ada acara sholawatan, taunya deklarasi 3 periode. Koq sampai segitunya ya.. Ngeprank melulu...",27/11/2022,1596971745583714304,Hasan09072,2555
2555,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab53a0>,@tifsembiring Teriak 3 periode gk boleh..tp koar2 turunkan jokowi..anda sehat..?,27/11/2022,1596971530864324608,TaswadD,2556
2556,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5400>,"@olvaholvah @jokowi Jika Jokowi mikirin rakyat tentu Jokowi akan mencari solusi bgmn agar negara tdk menumpuk hutang dan tdk mnaikan hrg BBM yg mencekik rakyatnya, eh udh gitu ingin lanjut 3 periode, pak Jokowi sadarlah bhw anda tak mampu mengelola negara ini dgn baik.",27/11/2022,1596965827265593345,sakhwan8,2557
2557,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5460>,"Ternyata diacara GBK ada penyusup hasil prank kelompok sebelah tapi untungnya mereka dibayar, dikasih nasi bungkus. Omelannya ini yg mau menjatuhkan acara tersebut, Jokowi mau 3 periode,",27/11/2022,1596959491529981952,e04c05e2e8124c0,2558
2558,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab54c0>,"@Trending_Issue @tifsembiring Ayo adu2an data, tentang teriak ""3 periode"" dan ""gulingkan/turunkan jokowi"", yang keduanya sama2 melawan konstitusi.  Pasti banyakan yang teriak ""gulingkan/turunkan jokowi"".  *NggakMaluApah",27/11/2022,1596945464406200320,skywalk01597190,2559
2559,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5520>,"@RudiSoekoco @ASugiantokizzer @tifsembiring Nah itu seharusnya kau dukung Jokowi selesai sampai masa jabatannya sprti yg kau bilang ""Bisa kok selesai 2 periode"",kenapa malah konsern ke isu 3 periode yg kau bilang hanya di jaman jokowi, padahal KAGAK !?",27/11/2022,1596939573560762368,gegex,2560
2560,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5580>,"@tifsembiring Betul, 3 periode melanggar konstitusi. Yg teriak relawan Pak Jokowi, bukan keinginan Pak Jokowi. Klo ngulang2 lg bahas 3 periode isi kepala sampeyan opo sih?",27/11/2022,1596936237993992192,josh_susanto,2561
2561,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab55e0>,@RudiSoekoco @ASugiantokizzer @tifsembiring Lah kata nya cuma dijaman jokowi ada isu 3 periode kenyataannya kan NGGAK !!,27/11/2022,1596934567977717762,gegex,2562
2562,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5640>,"@JulBayur3 @jokowi Ini yang bogoto (bodo goblok tolol) siapa ya?  Jelas2 yg diomongin Jokowi dia dukung Ganjar. Masa ngga ngerti juga sih? Koq jadi 3 periode? Makanya sekola yg bener, drun",27/11/2022,1596934563783008256,vulgis,2563
2563,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab56a0>,@_LOVE_AG4EVER @jokowi katanya kampanye 3 periode,27/11/2022,1596926700109332480,chelseaAswaja,2564
