,_sa_instance_state,datetime,text,tweet_id,id,username
1833,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0340>,09/12/2022,"Sudah jelas ya tolol, disitu tidak ada upaya Pak Jokowi melanggar konstitusi.  Jadi jangan pernah kalian bikin statement bahwa Jokowi ingin 3 periode.",1601260129961537536,1834,Penyuka_ombak
1834,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab03a0>,09/12/2022,@msaid_didu @jokowi @LaNyallaMM1 @bambangsoesatyo dah hajr 3 periode biar mampus   para oposan dan para kadrun. 🤣,1601253603103997954,1835,sonifunny85
1835,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0400>,09/12/2022,@democrazymedia Pertanyaan jokowi 3 periode itu bodoh... Tanya nya ke partai partai dong apa mereka ada yg mengusung jokowi tahun 2024 ?,1601252606596112384,1836,SalikFx
1836,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0460>,09/12/2022,terus gantinya AHY? ogah (tapi ya jangan 3 periode emang itu si Jokowi),1601251568925351936,1837,Reemosabee
1837,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab04c0>,09/12/2022,Jokowi 3 Periode dengan Dalih Rakyat Masih Ingin Dipimpin Jokowi https://t.co/njTUNyrYnS,1601249592829698048,1838,BizlawIndonesia
1838,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0520>,09/12/2022,"@pangisyarwi1 Wacana basi ttg 3 periode yang berkali2 ditolak bnyk pihak termasuk Jokowi sendiri.  Kenapa ketua MPR angkat isu itu lagi? Argumentasinya juga cetek banget, cuma modal tingkat kepuasan. Tingkat kepuasan sby jg tinggi tp gk ada tuh wacana 3 periode. Ada agenda apa sik ini? https://t.co/mzagD5HTia",1601235846682009600,1839,RidNgemil
1839,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0580>,09/12/2022,@noire172 @jokowi Loe 3 periode  Gw getok  Ape loe? ape loe?,1601227886996131840,1840,s4h4b4tl4m4
1840,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab05e0>,09/12/2022,Bamsoet dan Bahlil Kembali Munculkan Isu 3 Periode: Publik Puas pada Kinerja Jokowi  Baca Selengkapnya: https://t.co/WuJesiKT7u  #BeritaTerkini #media #Online #news #BreakingNews #bamsoet #bahlil #3periode #publik #kinerja #Jokowi #Indonesia,1601227764492689409,1841,portalmediaid
1841,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0640>,09/12/2022,Saya berharap suara Jokowi 3 periode digaungkan lagi. Dan harus makin kenceng. Mosok kaum intelek kalah sama pengangguran buronan DC. 🤭🤭🤭,1601225644398243840,1842,SangGuru2471
1842,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab06a0>,09/12/2022,Di rezim ini banyak pejabat yg tambah kaya tambah berkuasa . Gak heran banyak yg mau jokowi 3 periode.,1601223397790613504,1843,Alwatzightebil1
